tripinfo_arrival,tripinfo_arrivalLane,tripinfo_arrivalPos,tripinfo_arrivalSpeed,tripinfo_depart,tripinfo_departDelay,tripinfo_departLane,tripinfo_departPos,tripinfo_departSpeed,tripinfo_devices,tripinfo_duration,tripinfo_id,tripinfo_rerouteNo,tripinfo_routeLength,tripinfo_speedFactor,tripinfo_stopTime,tripinfo_timeLoss,tripinfo_vType,tripinfo_vaporized,tripinfo_waitingCount,tripinfo_waitingTime
15,E2_2,63.53,14.72,0,0,#NAME?,2.1,0,tripinfo_n1.0 fcd_n1.0,15,n1.0,0,198.73,1.06,0,0.98,Car,,0,0
15,E9_2,52.3,15.04,0,0,#NAME?,2.1,0,tripinfo_s1.0 fcd_s1.0,15,s1.0,0,198.26,1.08,0,1.01,Car,,0,0
20,E9_2,52.3,14.54,5,0,#NAME?,2.1,0,tripinfo_s1.1 fcd_s1.1,15,s1.1,0,198.26,1.05,0,0.97,Car,,0,0
21,E8_2,50.56,11.54,2,2,#NAME?,2.1,0,tripinfo_s3.0 fcd_s3.0,19,s3.0,0,172.11,0.83,0,2.54,Car,,0,0
22,E10_2,59.5,14.03,2,2,#NAME?,2.1,0,tripinfo_n3.0 fcd_n3.0,20,n3.0,0,217.66,1.01,0,3.62,Car,,0,0
22,E9_2,52.3,14.26,2,2,#NAME?,2.1,0,tripinfo_e3.0 fcd_e3.0,20,e3.0,0,194.23,1.03,0,5.57,Car,,0,0
23,E2_2,63.53,15.6,9,0.05,#NAME?,2.1,0,tripinfo_n1.1 fcd_n1.1,14,n1.1,0,198.73,1.12,0,1.08,Car,,0,0
26,E9_2,52.3,13.77,10,0,#NAME?,2.1,0,tripinfo_s1.2 fcd_s1.2,16,s1.2,0,198.26,0.99,0,0.91,Car,,0,0
31,E9_2,52.3,13.54,15,0,#NAME?,2.1,0,tripinfo_s1.3 fcd_s1.3,16,s1.3,0,198.26,0.97,0,0.89,Car,,0,0
34,E10_2,59.5,14.03,14,0.05,#NAME?,2.1,0,tripinfo_n3.1 fcd_n3.1,20,n3.1,0,217.66,1.01,0,3.62,Car,,0,0
37,E2_2,63.53,11.47,18,0.09,#NAME?,2.1,0,tripinfo_n1.2 fcd_n1.2,19,n1.2,0,198.73,0.83,0,0.69,Car,,0,0
38,E9_2,52.3,12.12,20,0,#NAME?,2.1,0,tripinfo_s1.4 fcd_s1.4,18,s1.4,0,198.26,0.87,0,0.76,Car,,0,0
41,E9_2,52.3,13.96,25,0,#NAME?,2.1,0,tripinfo_s1.5 fcd_s1.5,16,s1.5,0,198.26,1.01,0,0.93,Car,,0,0
41,E2_2,63.53,16.28,27,0.14,#NAME?,2.1,0,tripinfo_n1.3 fcd_n1.3,14,n1.3,0,198.73,1.17,0,1.16,Car,,0,0
45,E9_2,52.3,14.16,30,0,#NAME?,2.1,0,tripinfo_s1.6 fcd_s1.6,15,s1.6,0,198.26,1.02,0,0.94,Car,,0,0
48,E10_2,59.5,13.82,28,0.09,#NAME?,2.1,0,tripinfo_n3.2 fcd_n3.2,20,n3.2,0,217.66,0.99,0,3.51,Car,,0,0
50,E9_2,52.3,14.31,35,0,#NAME?,2.1,0,tripinfo_s1.7 fcd_s1.7,15,s1.7,0,198.26,1.03,0,0.95,Car,,0,0
55,E8_3,50.56,13.03,1,1,#NAME?,2.1,0,tripinfo_n2.0 fcd_n2.0,54,n2.0,0,210.23,0.94,0,36.68,Car,,1,33
56,E10_3,59.5,14.31,1,1,#NAME?,2.1,0,tripinfo_s2.0 fcd_s2.0,55,s2.0,0,206.78,1.03,0,39.15,Car,,1,34
56,E8_3,50.56,13.08,12,0.68,#NAME?,2.1,0,tripinfo_n2.1 fcd_n2.1,44,n2.1,0,210.23,0.94,0,27.17,Car,,1,22
56,E9_2,52.3,15.11,38,2,#NAME?,2.1,0,tripinfo_e3.1 fcd_e3.1,18,e3.1,0,194.23,1.09,0,3.92,Car,,0,0
57,E8_3,50.56,15.72,23,0.36,#NAME?,2.1,0,tripinfo_n2.2 fcd_n2.2,34,n2.2,0,210.23,1.13,0,19.97,Car,,1,13
58,E10_3,59.5,13,12,0.24,#NAME?,2.1,0,tripinfo_s2.1 fcd_s2.1,46,s2.1,0,206.78,0.94,0,28.98,Car,,1,23
59,E10_3,59.5,12.94,24,0.47,#NAME?,2.1,0,tripinfo_s2.2 fcd_s2.2,35,s2.2,0,206.78,0.93,0,18.3,Car,,1,13
59,E8_3,50.56,12.51,34,0.04,#NAME?,2.1,0,tripinfo_n2.3 fcd_n2.3,25,n2.3,0,210.23,0.9,0,7.5,Car,,1,3
61,E10_3,59.5,15.17,36,0.71,#NAME?,2.1,0,tripinfo_s2.3 fcd_s2.3,25,s2.3,0,206.78,1.09,0,9.9,Car,,1,2
63,E8_3,50.56,14.12,46,0.72,#NAME?,2.1,0,tripinfo_n2.4 fcd_n2.4,17,n2.4,0,210.23,1.02,0,1.57,Car,,0,0
64,E10_2,59.5,12.18,42,0.14,#NAME?,2.1,0,tripinfo_n3.3 fcd_n3.3,22,n3.3,0,217.66,0.88,0,2.8,Car,,0,0
65,E10_3,59.5,15.22,48,0.94,#NAME?,2.1,0,tripinfo_s2.4 fcd_s2.4,17,s2.4,0,206.78,1.1,0,2.3,Car,,0,0
68,E8_2,50.56,14.22,51,1,#NAME?,2.1,0,tripinfo_s3.1 fcd_s3.1,17,s3.1,0,172.11,1.02,0,3.64,Car,,0,0
76,E8_3,50.56,13.02,57,0.4,#NAME?,2.1,0,tripinfo_n2.5 fcd_n2.5,19,n2.5,0,210.23,0.94,0,1.34,Car,,0,0
79,E10_3,59.5,12.26,59,0.18,#NAME?,2.1,0,tripinfo_s2.5 fcd_s2.5,20,s2.5,0,206.78,0.88,0,1.79,Car,,0,0
87,E8_2,50.56,14.53,0,0,#NAME?,2.1,0,tripinfo_w1.0 fcd_w1.0,87,w1.0,0,230.99,1.05,0,70.62,Car,,1,66
